Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5,3,1.6,0.2,Iris-setosa
2,5,3.4,1.6,0.4,Iris-setosa
3,5.2,3.5,1.5,0.2,Iris-setosa
4,5.2,3.4,1.4,0.2,Iris-setosa
5,4.7,3.2,1.6,0.2,Iris-setosa
6,4.8,3.1,1.6,0.2,Iris-setosa
7,5.4,3.4,1.5,0.4,Iris-setosa
8,5.2,4.1,1.5,0.1,Iris-setosa
9,5.5,4.2,1.4,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
11,5,3.2,1.2,0.2,Iris-setosa
12,5.5,3.5,1.3,0.2,Iris-setosa
13,4.9,3.1,1.5,0.1,Iris-setosa
14,4.4,3,1.3,0.2,Iris-setosa
15,5.1,3.4,1.5,0.2,Iris-setosa
16,5,3.5,1.3,0.3,Iris-setosa
17,4.5,2.3,1.3,0.3,Iris-setosa
18,4.4,3.2,1.3,0.2,Iris-setosa
19,5,3.5,1.6,0.6,Iris-setosa
20,5.1,3.8,1.9,0.4,Iris-setosa
21,4.8,3,1.4,0.3,Iris-setosa
22,5.1,3.8,1.6,0.2,Iris-setosa
23,4.6,3.2,1.4,0.2,Iris-setosa
24,5.3,3.7,1.5,0.2,Iris-setosa
25,5,3.3,1.4,0.2,Iris-setosa
26,5.5,2.4,3.8,1.1,Iris-versicolor
27,5.5,2.4,3.7,1,Iris-versicolor
28,5.8,2.7,3.9,1.2,Iris-versicolor
29,6,2.7,5.1,1.6,Iris-versicolor
30,5.4,3,4.5,1.5,Iris-versicolor
31,6,3.4,4.5,1.6,Iris-versicolor
32,6.7,3.1,4.7,1.5,Iris-versicolor
33,6.3,2.3,4.4,1.3,Iris-versicolor
34,5.6,3,4.1,1.3,Iris-versicolor
35,5.5,2.5,4,1.3,Iris-versicolor
36,5.5,2.6,4.4,1.2,Iris-versicolor
37,6.1,3,4.6,1.4,Iris-versicolor
38,5.8,2.6,4,1.2,Iris-versicolor
39,5,2.3,3.3,1,Iris-versicolor
40,5.6,2.7,4.2,1.3,Iris-versicolor
41,5.7,3,4.2,1.2,Iris-versicolor
42,5.7,2.9,4.2,1.3,Iris-versicolor
43,6.2,2.9,4.3,1.3,Iris-versicolor
44,5.1,2.5,3,1.1,Iris-versicolor
45,5.7,2.8,4.1,1.3,Iris-versicolor
46,7.9,3.8,6.4,2,Iris-virginica
47,6.4,2.8,5.6,2.2,Iris-virginica
48,6.3,2.8,5.1,1.5,Iris-virginica
49,6.1,2.6,5.6,1.4,Iris-virginica
50,7.7,3,6.1,2.3,Iris-virginica
51,6.3,3.4,5.6,2.4,Iris-virginica
52,6.4,3.1,5.5,1.8,Iris-virginica
53,6,3,4.8,1.8,Iris-virginica
54,6.9,3.1,5.4,2.1,Iris-virginica
55,6.7,3.1,5.6,2.4,Iris-virginica
56,6.9,3.1,5.1,2.3,Iris-virginica
57,5.8,2.7,5.1,1.9,Iris-virginica
58,6.8,3.2,5.9,2.3,Iris-virginica
59,6.7,3.3,5.7,2.5,Iris-virginica
60,6.7,3,5.2,2.3,Iris-virginica
61,6.3,2.5,5,1.9,Iris-virginica
62,6.5,3,5.2,2,Iris-virginica
63,6.2,3.4,5.4,2.3,Iris-virginica
64,5.9,3,5.1,1.8,Iris-virginica
